Geschäftsnummer,Bestimmungsland,Position / Güterart,Geschäftstyp,Richtung,Exportkontrollnummer [EKN],Wert [CHF]
8030252,Mexiko,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,83098.65
8030013,Mexiko,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,960
8029524,Mexiko,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,307482.2
8029761,Mexiko,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,52101.54
8030255,Mexiko,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,538560
8030342,Mexiko,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",987094.68
8030389,Mexiko,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,46540.6
8029843,Neukaledonien,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,1200
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.6
ML07.b.2.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.6
ML07.b.2.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.6
ML07.b.2.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.1
ML07.b.1.a",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.2
ML07.b.1.b",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.4
ML07.b.2.a",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.3
ML07.b.1.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.1
ML07.b.1.a",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.1
ML07.b.1.a",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.5
ML07.b.2.b",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.3
ML07.b.1.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.3
ML07.b.1.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.3
ML07.b.1.c",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.1
ML07.b.1.a",1
8030326,Niederlande,"Chemikalien CWÜ
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"1A.5
ML07.b.2.b",1
8030200,Niederlande,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,141453
8029470,"Nordmazedonien, Republik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1A002.a
1C010.e",7618
8029763,"Nordmazedonien, Republik","Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1A002.a
1C010.e",19000
8029591,"Nordmazedonien, Republik",Dual Use Güter,Einzelbewilligung,Ausfuhr,1C111.b2,2460
8029966,Norwegen,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,6055
8029929,Norwegen,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,8795.5
8029929,Norwegen,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,56616
8029831,Österreich,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,855.6
8029428,Österreich,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,23737
8029428,Österreich,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D002.c1,10650
8029098,Pakistan,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,95113.4
8029098,Pakistan,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.h,92474.65
8029857,Peru,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,1900000
8029857,Peru,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML08.A13A,47500
8030054,Peru,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1073.81
8030355,Philippinen,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,289284.4
8029534,Philippinen,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,53664
8029776,Polen,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b1
2B201.a1",15000
8028792,Polen,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A001.f2,169065
8025610,Polen,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B009,1306000
8030128,Qatar,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,200
8029475,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a,19960
8029479,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a,19960
8030390,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.c,23832
8030167,Rumänien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",31800
8029808,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
8030380,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.b,5500
8030016,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,195000
8029437,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,135000
8029437,Rumänien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,60000
8029576,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",4953.96
8029576,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",4837.8
8030052,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1862
8030191,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1078
8030151,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,322300
8029497,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1662
8029497,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1662
8029278,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a,19476
8029727,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1115
8029727,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1066
8029908,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",8623.3
8028992,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,3306
8028992,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,826
8029869,Russische Föderation,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,7820
8029826,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,969
8029909,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,307
8029605,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,837
8029858,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1903
8030348,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1540
8030263,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,295
8029595,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,42361
8029910,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,755
8029910,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1447
8029926,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1A002.a
1C010.e",1855
8030088,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,873
8029491,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,3563
8029491,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,645
8030353,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,5428
8030402,Russische Föderation,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,1440.49
8029581,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,759
8029830,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,15088
8029541,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,181
8030134,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",4837.8
8030134,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",3302.65
8030138,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",49987.3
8029492,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,6749
8029474,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,2362.05
8029474,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,3071.7
8029474,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,3784.5
8029474,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,4440
8029913,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,475
8029913,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,475
8029913,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,475
8029598,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,42361
8030199,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1445.45
8029409,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,3784.5
8029409,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,4440
8029409,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g,3071.7
8029833,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A228.c,230444
8029833,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A201.a,31348
8030293,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,822.6
8030104,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,3080
8030104,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,361
8030097,Russische Föderation,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,582.9
8029573,Russische Föderation,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4850
8030189,Russische Föderation,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,1440.49
8030236,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a,39920
8029493,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,712850.88
8029493,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,712850.88
8029864,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1791
8029444,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,686
8030334,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A001.a1a,180000
8030098,Russische Föderation,Chemikalien CWÜ,Einzelbewilligung,Ausfuhr,3B.17,291.45
8030297,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,2563.68
8029425,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,1656
8029842,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,968
8030298,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,410.27
8030081,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.D5,17518.49
8030295,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,5798.8
8029903,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C210.a
1C010.b1",241.25
8029421,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.D.1.B.1,10500
8030408,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,3069
8029574,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,209
8029574,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,1039
8030160,Russische Föderation,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2848.8
8029650,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.h.1.d,22500
8029429,Russische Föderation,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"1C010.a
1C010.b1",32822.78
8029907,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,297
8029426,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,9798
8030161,Russische Föderation,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,3269
8029643,Russische Föderation,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,2500000
8030299,Russische Föderation,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,12271.4
8029183,Saudi-Arabien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B230,6942
8030062,Schweden,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A003.b4b,28000
8028936,Schweiz,Nukleargüter,Einzelbewilligung,Ausfuhr,0E001,1
8030313,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",5000
8030313,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",1500
8029442,Serbien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,1000
8030014,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",2000
8030079,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",900
8029865,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.c
2B001.a",14560
8030227,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",2500
8030227,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",1000
8030227,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",1000
8029705,Serbien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",4406
8029592,Singapur,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A003.g,4590
8029632,Singapur,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.e,777894
8030132,Singapur,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g1,61997
8030306,Singapur,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.h.1.d,98057
8030105,Singapur,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4794.6
8029456,Slowakische Republik,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,91800
8029456,Slowakische Republik,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.b,127600
8030259,Slowenien,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",21859
8029977,Slowenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,4125
8029977,Slowenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,172737
8029772,Slowenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,40000
8029434,Slowenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1237.5
8029434,Slowenien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,210738
8030057,Slowenien,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a1,341068
8029613,Slowenien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML03,5000
8029613,Slowenien,"Besondere militärische Güter
Besondere militärische Güter",Einzelbewilligung,Ausfuhr,"ML03
ML03",14000
8029613,Slowenien,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML18.a,5200
8030289,Spanien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,855
8029596,Spanien,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,6615
8030143,Südafrika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1462.5
8029827,Südafrika,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,1510
8030364,Südafrika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,6000
8029967,Südafrika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5D001.a,53040
8029791,Südafrika,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,3600
8029567,Südafrika,Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
8029848,Syrien,Bewilligungspflicht nach Art. 3 Abs. 4 GKV,Einzelbewilligung,Ausfuhr,Catch-all,0.6
8030376,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,122424
8029398,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d5,103137
8030195,Thailand,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,8500
8029881,Thailand,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",415000
8029461,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,9D004.e,3600
8029378,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
8029973,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,1C350.64,1988
8029382,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
8029775,Thailand,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,710000
8029969,Tschechische Republik,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.a6b2,405245
8029637,Tunesien,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.2,92000
8030246,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.a,15500
8030230,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",5480
8030055,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.c,17045
8029526,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,1712.9
8030071,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a
2B001.b",7000
8030071,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.d,2000
8029214,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a
2B001.b",4000
8029214,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B201.a
2B001.b",2500
8029410,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",4400
8029410,Türkei,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.a",64900
8029905,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,2700
8029562,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,2957.8
8029467,Türkei,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,239.73
8029448,Uganda,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,21465
8029449,Ukraine,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1000
8029449,Ukraine,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1000
8030276,Ukraine,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B201.a,39274.4
8030379,Ukraine,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,3900
8029633,Ukraine,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A225
1A001",2229.5
8029777,Ukraine,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A225,878
8029582,Ukraine,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",35522
8029790,Ukraine,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.d3,56230.75
8030202,Ukraine,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,2150.4
8029771,Ungarn,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",13200
8030245,Ungarn,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.A,11060
8029744,Ungarn,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML04.b,35000
8030180,Ungarn,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.a
2B201.c",15400
8029599,Ungarn,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"2B001.b
2B201.a",4400
8029686,Vereinigte Staaten von Amerika,"Dual Use Güter
Dual Use Güter",Einzelbewilligung,Ausfuhr,"3A001.a7a
3A001.a7b",65400
8029430,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i,49493
8030345,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.g2,3780
8029219,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606
8030378,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B352.d,2241.04
8029923,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1a,2000
8029509,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,6A005.B.6.A.2,827545
8027026,Vereinigte Staaten von Amerika,Bewilligungspflicht nach Art. 3 Abs. 4 GKV,Einzelbewilligung,Ausfuhr,Catch-all,122774875
8029221,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606
8029222,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606
8030247,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,60512.8
8029223,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606
8030215,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A003.g,1200
8029655,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,8379
8030307,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B350.i1,227953
8029972,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,12550
8029972,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,13455
8029435,Vereinigte Staaten von Amerika,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML07.f1,69633
8029974,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,4A001.a,9606
8030078,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,2B001.e1c,259250
8029947,Vietnam,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002.g2,96243
8029742,Vietnam,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML05.b,13014
8029328,Vietnam,Dual Use Güter,Einzelbewilligung,Ausfuhr,1E001,1
